,gene_name,protein_name
0,Fcan01_28731,OXA36504
1,Fcan01_28712,OXA36521
2,Fcan01_28713,OXA36522
3,Fcan01_28689,OXA36545
4,Fcan01_28672,OXA36562
5,Fcan01_28655,OXA36580
6,Fcan01_28654,OXA36582
7,Fcan01_28625,OXA36610
8,Fcan01_28609,OXA36622
9,Fcan01_28566,OXA36670
10,Fcan01_28549,OXA36677
11,Fcan01_28524,OXA36716
12,Fcan01_28523,OXA36719
13,Fcan01_28508,OXA36728
14,Fcan01_28487,OXA36747
15,Fcan01_28479,OXA36752
16,Fcan01_28480,OXA36764
17,Fcan01_28441,OXA36781
18,Fcan01_28456,OXA36789
19,Fcan01_28450,OXA36791
20,Fcan01_28430,OXA36798
21,Fcan01_28436,OXA36799
22,Fcan01_28419,OXA36812
23,Fcan01_28416,OXA36821
24,Fcan01_28374,OXA36845
25,Fcan01_28377,OXA36848
26,Fcan01_28373,OXA36852
27,Fcan01_28381,OXA36857
28,Fcan01_28380,OXA36858
29,Fcan01_28324,OXA36889
30,Fcan01_28306,OXA36915
31,Fcan01_28316,OXA36923
32,Fcan01_28297,OXA36947
33,Fcan01_28319,OXA36952
34,Fcan01_28245,OXA36994
35,Fcan01_28209,OXA37013
36,Fcan01_28198,OXA37022
37,Fcan01_28227,OXA37033
38,Fcan01_28213,OXA37046
39,Fcan01_28212,OXA37047
40,Fcan01_28210,OXA37049
41,Fcan01_28155,OXA37055
42,Fcan01_28173,OXA37069
43,Fcan01_28171,OXA37071
44,Fcan01_28140,OXA37085
45,Fcan01_28137,OXA37089
46,Fcan01_28161,OXA37098
47,Fcan01_28169,OXA37102
48,Fcan01_28109,OXA37112
49,Fcan01_28113,OXA37137
50,Fcan01_28046,OXA37166
51,Fcan01_28042,OXA37170
52,Fcan01_28053,OXA37174
53,Fcan01_28034,OXA37180
54,Fcan01_28049,OXA37186
55,Fcan01_28071,OXA37187
56,Fcan01_28058,OXA37200
57,Fcan01_28052,OXA37203
58,Fcan01_28054,OXA37205
59,Fcan01_28024,OXA37216
60,Fcan01_28025,OXA37217
61,Fcan01_28005,OXA37230
62,Fcan01_27969,OXA37233
63,Fcan01_27994,OXA37235
64,Fcan01_27996,OXA37237
65,Fcan01_27993,OXA37239
66,Fcan01_28003,OXA37244
67,Fcan01_28000,OXA37245
68,Fcan01_27990,OXA37247
69,Fcan01_27974,OXA37257
70,Fcan01_27988,OXA37258
71,Fcan01_27986,OXA37264
72,Fcan01_27950,OXA37269
73,Fcan01_27953,OXA37270
74,Fcan01_27957,OXA37272
75,Fcan01_27962,OXA37278
76,Fcan01_27963,OXA37279
77,Fcan01_27952,OXA37284
78,Fcan01_27939,OXA37290
79,Fcan01_27944,OXA37294
80,Fcan01_27942,OXA37296
81,Fcan01_27943,OXA37297
82,Fcan01_27948,OXA37300
83,Fcan01_27949,OXA37301
84,Fcan01_27918,OXA37310
85,Fcan01_27891,OXA37320
86,Fcan01_27892,OXA37321
87,Fcan01_27898,OXA37327
88,Fcan01_27924,OXA37329
